15min_bin,glucose
2019-08-04 21:30:00,6.1
2019-08-04 21:45:00,6.2
2019-08-04 22:00:00,6.3
2019-08-04 22:15:00,6.3
2019-08-04 22:30:00,6.2
2019-08-04 22:45:00,6.0
2019-08-04 23:00:00,5.9
2019-08-04 23:15:00,6.1
2019-08-04 23:30:00,5.7
2019-08-04 23:45:00,5.6
2019-08-05 00:00:00,5.7
2019-08-05 00:15:00,5.7
2019-08-05 00:30:00,5.5
2019-08-05 00:45:00,6.0200000000000005
2019-08-05 01:00:00,6.25
2019-08-05 01:15:00,5.6
2019-08-05 01:30:00,5.6
2019-08-05 01:45:00,5.7
2019-08-05 02:00:00,6.033333333333334
2019-08-05 02:15:00,5.9
2019-08-05 02:30:00,5.8
2019-08-05 02:45:00,5.8
2019-08-05 03:00:00,5.8
2019-08-05 03:15:00,5.9
2019-08-05 03:30:00,5.85
2019-08-05 03:45:00,6.1
2019-08-05 04:00:00,5.7
2019-08-05 04:15:00,5.8
2019-08-05 04:30:00,6.2
2019-08-05 04:45:00,5.933333333333334
2019-08-05 05:00:00,5.6
2019-08-05 05:15:00,5.4
2019-08-05 05:30:00,5.7
2019-08-05 05:45:00,5.95
2019-08-05 06:00:00,6.4
2019-08-05 06:15:00,6.4
2019-08-05 06:30:00,6.1
2019-08-05 06:45:00,6.5
2019-08-05 07:00:00,5.949999999999999
2019-08-05 07:15:00,5.1
2019-08-05 07:30:00,4.7
2019-08-05 07:45:00,5.8
2019-08-05 08:00:00,6.7
2019-08-05 08:15:00,6.3
2019-08-05 08:30:00,5.3
2019-08-05 08:45:00,5.449999999999999
2019-08-05 09:00:00,5.9
2019-08-05 09:15:00,6.3
2019-08-05 09:30:00,6.949999999999999
2019-08-05 09:45:00,6.2
2019-08-05 10:00:00,5.2
2019-08-05 10:15:00,4.8
2019-08-05 10:30:00,6.050000000000001
2019-08-05 10:45:00,6.6
2019-08-05 11:00:00,6.6
2019-08-05 11:15:00,6.833333333333333
2019-08-05 11:30:00,6.7
2019-08-05 11:45:00,7.0
2019-08-05 12:00:00,7.0
2019-08-05 12:15:00,6.9
2019-08-05 12:30:00,6.7
2019-08-05 12:45:00,6.0
2019-08-05 13:00:00,5.550000000000001
2019-08-05 13:15:00,5.2
2019-08-05 13:30:00,5.3
2019-08-05 13:45:00,5.4
2019-08-05 14:00:00,5.5
2019-08-05 14:15:00,5.6
2019-08-05 14:30:00,5.9
2019-08-05 14:45:00,6.0
2019-08-05 15:00:00,6.1
2019-08-05 15:15:00,5.75
2019-08-05 15:30:00,5.15
2019-08-05 15:45:00,5.7
2019-08-05 16:00:00,
2019-08-05 16:15:00,
2019-08-05 16:30:00,
2019-08-05 16:45:00,
2019-08-05 17:00:00,
2019-08-05 17:15:00,
2019-08-05 17:30:00,6.1
2019-08-05 17:45:00,5.4
2019-08-05 18:00:00,5.3
2019-08-05 18:15:00,5.5
2019-08-05 18:30:00,5.7
2019-08-05 18:45:00,5.8
2019-08-05 19:00:00,6.1
2019-08-05 19:15:00,6.3
2019-08-05 19:30:00,6.6
2019-08-05 19:45:00,7.1
2019-08-05 20:00:00,7.2
2019-08-05 20:15:00,7.0
2019-08-05 20:30:00,7.1
2019-08-05 20:45:00,6.9
2019-08-05 21:00:00,6.1
2019-08-05 21:15:00,5.3
2019-08-05 21:30:00,5.1
2019-08-05 21:45:00,5.6
2019-08-05 22:00:00,5.6
2019-08-05 22:15:00,5.3
2019-08-05 22:30:00,5.2
2019-08-05 22:45:00,5.2
2019-08-05 23:00:00,5.2
2019-08-05 23:15:00,5.4
2019-08-05 23:30:00,5.5
2019-08-05 23:45:00,5.4
2019-08-06 00:00:00,5.7
2019-08-06 00:15:00,5.6
2019-08-06 00:30:00,5.4
2019-08-06 00:45:00,5.7
2019-08-06 01:00:00,5.9
2019-08-06 01:15:00,5.9
2019-08-06 01:30:00,5.85
2019-08-06 01:45:00,6.2
2019-08-06 02:00:00,6.4
2019-08-06 02:15:00,6.2
2019-08-06 02:30:00,6.1
2019-08-06 02:45:00,6.6
2019-08-06 03:00:00,6.65
2019-08-06 03:15:00,6.1
2019-08-06 03:30:00,6.25
2019-08-06 03:45:00,6.5
2019-08-06 04:00:00,6.2
2019-08-06 04:15:00,5.9
2019-08-06 04:30:00,5.8
2019-08-06 04:45:00,5.8
2019-08-06 05:00:00,6.7
2019-08-06 05:15:00,8.3
2019-08-06 05:30:00,8.9
2019-08-06 05:45:00,8.2
2019-08-06 06:00:00,7.1
2019-08-06 06:15:00,5.6
2019-08-06 06:30:00,5.8
2019-08-06 06:45:00,6.2
2019-08-06 07:00:00,6.3
2019-08-06 07:15:00,6.6
2019-08-06 07:30:00,7.5
2019-08-06 07:45:00,8.1
2019-08-06 08:00:00,6.2
2019-08-06 08:15:00,4.7
2019-08-06 08:30:00,5.7
2019-08-06 08:45:00,7.4
2019-08-06 09:00:00,7.1
2019-08-06 09:15:00,5.6
2019-08-06 09:30:00,5.2
